,,DigiKey list:,https://www.digikey.com/en/mylists/list/QX3GPIZNYA,,,,,
Item,Qty,Reference(s),Value,Datasheet,Buy URL,DigiKey_Part_Number,MF,MP
1,1,Brd1,SSD1306,,https://www.aliexpress.us/item/3256805022051665.html?src=google&src=google&albch=rmkt&acnt=576-373-4425&albcp=16255467009&albag=&slnk=&trgt=&plac=&crea=&netw=x&device=c&mtctp=&albbt=Google_7_rmkt&gad=1&gclid=CjwKCAjw6p-oBhAYEiwAgg2PghtkO_1xK0Iq53FAw6SfUxGmzGGzeOTSPcZ6n6SfUdDVYsFfKz2WxBoCFeEQAvD_BwE&aff_fcid=a593a73028694426b4375254828d6459-1695087800661-09207-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=a593a73028694426b4375254828d6459-1695087800661-09207-UneMJZVf&terminal_id=9ba759070467424aaa577ffcc25f4cfc&afSmartRedirect=y&gatewayAdapt=glo2usa,,,
2,3,"C1, C2, C3",10nF,https://datasheets.kyocera-avx.com/dipguard.pdf,https://www.digikey.com/en/products/detail/kyocera-avx/MD015E104MAB/1547063,,,
3,1,J1,SJ-3524-SMT,https://www.cuidevices.com/product/resource/sj-352x-smt.pdf,https://www.digikey.com/en/products/detail/cui-devices/SJ-3524-SMT-TR/281298,CP-3524SJCT-ND,CUI Devices,SJ-3524-SMT
4,5,"R1, R2, R3, R4, R5",10k,https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf,https://www.digikey.com/en/products/detail/yageo/CFR25SJT-52-10K/13921071?utm_adgroup=Yageo&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Supplier_Yageo&utm_term=&utm_content=Yageo&gclid=Cj0KCQjwi46iBhDyARIsAE3nVrbeAUIupbSgNRhZ8dKg81IGSBlo-bTVVMUYbz9mzG-6OJGBZvxw5ZYaAtHNEALw_wcB,,,
5,1,R6,33,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT33R0/1741397,,,
6,1,R7,10,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT10R0/1741276,,,
7,1,SW1,Select Button,https://kineticlabs.com/switches/kailh/kailh-speed-switches,https://kineticlabs.com/switches/kailh/kailh-speed-switches,,,
8,16,"SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17",Cherry MX Switch,https://kineticlabs.com/switches/kailh/kailh-speed-switches,https://kineticlabs.com/switches/kailh/kailh-speed-switches,,,
9,1,SW18,Encoder - Right,https://www.bourns.com/docs/Product-Datasheets/PEC12R.pdf,https://www.digikey.com/en/products/detail/bourns-inc/PEC12R-3220F-S0024/4699265?s=N4IgTCBcDaIAoFEDCBGMAlAtAZjGADAGKYDKIAugL5A,,,
10,1,U1,Pico,,https://www.digikey.com/en/products/detail/raspberry-pi/SC0918/16608263,,,
